step,accuracy,loss
0,0.0859375,0.5638261437416077
100,0.098359375,0.8094979757070542
200,0.09765625,0.8094749307632446
300,0.09953125,0.8094744896888733
400,0.103203125,0.8094743585586548
429,0.09913793103448276,0.8086019261129971
529,0.1028125,0.0023240737259038725
629,0.097734375,4.359280803328147e-05
729,0.096796875,4.3508289818419146e-05
829,0.09828125,4.360204460681416e-05
858,0.10721982758620689,4.366375475816814e-05
958,0.096640625,4.351647356088506e-05
1058,0.103515625,4.358440408395836e-05
1158,0.0984375,4.351148378191283e-05
1258,0.100234375,4.3471226817928254e-05
1287,0.09913793103448276,4.342194821721681e-05
1387,0.101484375,4.349432558228727e-05
1487,0.096953125,4.330737010604935e-05
1587,0.102734375,4.3554930307436735e-05
1687,0.097734375,4.3643433127726897e-05
1716,0.09536637931034483,4.3497480434999835e-05
1816,0.101640625,4.358980069810059e-05
1916,0.09640625,4.3591439352894665e-05
2016,0.1021875,4.351843366748654e-05
2116,0.097109375,4.3323460995452476e-05
